,Text,Label
0,"Good morning class, today we are going to learn about nouns.",OTR
1,"A noun is a word that represents a person, place, thing, or idea.",NEU
2,Can anyone give me an example of a noun?,OTR
3,"That's right, 'dog' is a noun because it is a thing.",OTR
4,Let's write down some nouns in our notebooks.,OTR
5,"Now, let's talk about verbs. Does anyone know what a verb is?",OTR
6,"A verb is a word that describes an action, occurrence, or state of being.",NEU
7,Can someone give me an example of a verb?,OTR
8,"Great example, 'run' is a verb because it is an action.",PRS
9,"Now, let's write down some verbs in our notebooks.",OTR
10,"Next, we are going to learn about adjectives.",NEU
11,An adjective is a word that describes a noun.,NEU
12,Can someone give me an example of an adjective?,OTR
13,"Exactly, 'beautiful' is an adjective because it describes a noun.",PRS
14,Let's write down some adjectives in our notebooks.,OTR
15,"Now we are going to form sentences using nouns, verbs, and adjectives.",NEU
16,A sentence is a group of words that expresses a complete thought.,NEU
17,Let's build a sentence together. I'll start with a noun: 'The cat'.,OTR
18,Can someone add a verb to our sentence?,OTR
19,"Great, now our sentence is: 'The cat runs'.",PRS
20,Can someone add an adjective to our sentence?,OTR
21,"Wonderful, our sentence is now: 'The fast cat runs'.",PRS
22,Let's write down some of our own sentences in our notebooks.,OTR
23,Now we are going to learn about punctuation.,NEU
24,Punctuation marks are symbols that help us to organize and structure sentences.,NEU
25,The period is a punctuation mark used to end a sentence.,NEU
26,The question mark is used at the end of a question.,NEU
27,The exclamation mark is used to express excitement or emphasis.,NEU
28,Can someone give me a sentence with an exclamation mark?,OTR
29,"Great job, that sentence definitely needed an exclamation mark!",PRS
30,Let's write down some sentences with different punctuation marks in our notebooks.,OTR
31,"Next, we are going to learn about pronouns.",NEU
32,A pronoun is a word that can take the place of a noun.,NEU
33,Can someone give me an example of a pronoun?,OTR
34,"That's right, 'he' is a pronoun because it can take the place of a noun.",PRS
35,Let's write down some pronouns in our notebooks.,OTR
36,"Now, we are going to practice using pronouns in sentences.",NEU
37,Let's build a sentence together. I'll start with a noun: 'The girl'.,OTR
38,Can someone replace the noun with a pronoun?,OTR
39,"Great, now our sentence is: 'She reads a book'.",PRS
40,Let's write down some of our own sentences using pronouns in our notebooks.,OTR
41,"Next, we are going to learn about adverbs.",NEU
42,"An adverb is a word that describes a verb, an adjective, or another adverb.",NEU
43,Can someone give me an example of an adverb?,OTR
44,"Exactly, 'quickly' is an adverb because it describes how an action is done.",PRS
45,Let's write down some adverbs in our notebooks.,OTR
46,Now we are going to use adverbs in sentences.,NEU
47,Let's build a sentence together. I'll start with a verb: 'runs'.,OTR
48,Can someone add an adverb to our sentence?,OTR
49,"Great, now our sentence is: 'She runs quickly'.",PRS
50,Let's write down some of our own sentences using adverbs in our notebooks.,OTR
51,"Well done, everyone! You have learned a lot today.",PRS
52,Remember to practice using these new words in your writing.,NEU
53,"For homework, please write a short story using the words we learned today.",OTR
54,"Make sure to include nouns, verbs, adjectives, and adverbs in your story.",NEU
55,Don't forget to use correct punctuation in your sentences.,NEU
56,I am looking forward to reading your stories.,PRS
57,"Have a great day, and remember to keep practicing your English!",PRS